start_date,sample_size,population,candidate,approve,disapprove,total
2020-05-28,2300,a,Trump,78,19,97
2020-05-28,2800,a,Trump,17,79,96
2020-05-28,2300,a,Trump,34,50,84
2020-05-28,1034,a,Trump,42,58,100
2020-05-29,2200,a,Trump,40,51,91
2020-05-29,704,a,Trump,77,17,94
2020-05-29,727,a,Trump,11,85,96
2020-05-29,769,a,Trump,33,51,84
2020-05-29,1981,rv,Trump,36,59,95
2020-05-29,637,rv,Trump,78,19,97
2020-05-29,2071,a,Trump,45,55,100
2020-05-29,658,a,Trump,13,87,100
2020-05-29,629,a,Trump,43,57,100
2020-05-29,1060,a,Trump,43,53,96
2020-05-29,1457,lv,Trump,44,56,100
2020-05-29,1000,a,Trump,42,51,93
2020-05-29,778,rv,Trump,9,87,96
2020-05-30,1780,a,Trump,39,61,100
2020-05-30,623,a,Trump,15,85,100
2020-05-30,646,a,Trump,30,70,100
2020-05-31,1500,a,Trump,41,52,93
2020-05-31,1233,a,Trump,38,46,84
2020-06-01,1113,a,Trump,40,54,94
2020-06-01,1327,a,Trump,41,54,95
2020-06-01,5703,a,Trump,45,52,97
2020-06-01,2374,a,Trump,87,13,100
2020-06-01,2458,a,Trump,9,90,99
2020-06-01,745,a,Trump,38,60,98
2020-06-02,1259,a,Trump,41,56,97
2020-06-02,1707,a,Trump,41,59,100
2020-06-02,620,a,Trump,35,65,100
2020-06-03,706,a,Trump,39,60,99
2020-06-04,1608,rv,Trump,41,56,97
2020-06-04,675,rv,Trump,9,89,98
2020-06-04,2800,a,Trump,13,82,95
2020-06-04,2300,a,Trump,28,48,76
2020-06-04,8000,a,Trump,41,53,94
2020-06-04,2300,a,Trump,78,18,96
2020-06-05,2200,a,Trump,38,55,93
2020-06-05,680,a,Trump,79,17,96
2020-06-05,806,a,Trump,10,87,97
2020-06-05,714,a,Trump,31,55,86
2020-06-05,1000,a,Trump,43,50,93
2020-06-06,1992,rv,Trump,34,61,95
2020-06-06,629,rv,Trump,76,22,98
2020-06-06,753,rv,Trump,6,90,96
2020-06-06,610,rv,Trump,26,65,91
2020-06-06,635,a,Trump,39,61,100
2020-06-06,1748,a,Trump,43,57,100
2020-06-06,612,a,Trump,17,84,101
2020-06-07,855,rv,Trump,44,53,97
2020-06-07,1500,a,Trump,44,50,94
2020-06-08,1912,rv,Trump,47,53,100
2020-06-08,611,rv,Trump,83,17,100
2020-06-08,707,rv,Trump,20,80,100
2020-06-08,1114,a,Trump,43,52,95
2020-06-08,1500,rv,Trump,37,51,88
2020-06-08,25052,a,Trump,35,63,98
2020-06-08,169420,a,Trump,45,53,98
2020-06-08,64866,a,Trump,87,13,100
2020-06-08,75498,a,Trump,8,91,99
2020-06-09,1642,a,Trump,45,55,100
2020-06-09,1570,a,Trump,41,55,96
2020-06-09,836,a,Trump,41,54,95
2020-06-10,4426,a,Trump,40,55,95
2020-06-11,1310,a,Trump,37,62,99
2020-06-11,1009,rv,Trump,40,57,97
2020-06-11,1332,rv,Trump,42,56,98
2020-06-11,8000,a,Trump,40,54,94
2020-06-11,2800,a,Trump,13,84,97
2020-06-11,2300,a,Trump,27,50,77
2020-06-11,2300,a,Trump,78,19,97
2020-06-12,867,a,Trump,13,80,93
2020-06-12,726,a,Trump,32,55,87
2020-06-12,1987,rv,Trump,37,58,95
2020-06-12,654,rv,Trump,78,20,98
2020-06-12,722,rv,Trump,7,88,95
2020-06-12,607,a,Trump,78,17,95
2020-06-12,1000,a,Trump,39,52,91
2020-06-12,611,rv,Trump,27,62,89
2020-06-12,1000,lv,Trump,41,57,98
2020-06-12,1250,lv,Trump,42,58,100
2020-06-12,2200,a,Trump,37,55,92
2020-06-13,1000,rv,Trump,41,48,89
2020-06-13,1343,rv,Trump,44,55,99
2020-06-13,631,rv,Trump,12,87,99
2020-06-14,1500,a,Trump,40,51,91
2020-06-17,1886,rv,Trump,44,56,100
2020-06-17,1337,rv,Trump,38,58,96
2020-06-17,706,rv,Trump,22,78,100
2020-06-17,727,a,Trump,41,58,99
2020-06-17,1100,a,Trump,37,58,95
2020-06-18,1995,rv,Trump,38,55,93
2020-06-18,1313,rv,Trump,42,56,98
2020-06-18,630,rv,Trump,80,15,95
2020-06-18,8000,a,Trump,39,53,92
2020-06-18,2300,a,Trump,77,19,96
2020-06-18,2800,a,Trump,13,85,98
2020-06-18,2300,a,Trump,27,51,78
2020-06-18,765,rv,Trump,8,89,97
2020-06-18,600,rv,Trump,33,57,90
2020-06-19,757,rv,Trump,8,88,96
2020-06-19,638,rv,Trump,29,63,92
2020-06-19,1988,rv,Trump,34,60,94
2020-06-19,1000,a,Trump,41,51,92
2020-06-21,1500,a,Trump,39,51,90
2020-06-22,951,rv,Trump,43,57,100
2020-06-22,1115,a,Trump,37,58,95
2020-06-22,1000,lv,Trump,40,60,100
2020-06-23,855,a,Trump,46,50,96
2020-06-23,2009,a,Trump,41,59,100
2020-06-23,646,a,Trump,11,89,100
2020-06-23,999,a,Trump,39,61,100
2020-06-24,1507,a,Trump,39,55,94
2020-06-25,808,rv,Trump,9,88,97
2020-06-25,1986,rv,Trump,38,56,94
2020-06-25,625,rv,Trump,79,17,96
2020-06-25,1204,rv,Trump,40,58,98
2020-06-25,8000,a,Trump,41,53,94
2020-06-25,2300,a,Trump,76,20,96
2020-06-25,2800,a,Trump,16,81,97
2020-06-25,2300,a,Trump,26,54,80
2020-06-26,1984,rv,Trump,34,60,94
2020-06-26,610,rv,Trump,74,23,97
2020-06-26,777,rv,Trump,7,89,96
2020-06-26,1000,a,Trump,45,51,96
2020-06-26,1663,lv,Trump,41,59,100
2020-06-26,867,a,Trump,40,54,94
2020-06-27,1213,a,Trump,32,54,86
2020-06-28,1500,a,Trump,37,54,91
2020-06-29,1115,a,Trump,39,56,95
2020-06-29,44557,a,Trump,43,55,98
2020-06-29,16924,a,Trump,86,14,100
2020-06-29,19899,a,Trump,8,92,100
2020-06-29,6677,a,Trump,32,66,98
2020-06-30,1011,rv,Trump,42,58,100
2020-07-01,2200,a,Trump,39,55,94
2020-07-01,709,a,Trump,79,18,97
2020-07-01,758,a,Trump,9,86,95
2020-07-01,733,a,Trump,30,61,91
2020-07-01,84793,a,Trump,86,14,100
2020-07-01,216754,a,Trump,43,55,98
2020-07-01,32211,a,Trump,31,67,98
2020-07-01,94443,a,Trump,7,93,100
2020-07-02,8000,a,Trump,37,56,93
2020-07-02,2300,a,Trump,70,26,96
2020-07-02,2800,a,Trump,13,83,96
2020-07-02,2300,a,Trump,24,51,75
2020-07-03,1000,a,Trump,41,53,94
2020-07-05,1500,a,Trump,39,57,96
2020-07-06,53106,a,Trump,44,55,99
